call_id,timestamp,date,hour,day_of_week,month,agent_id,call_reason,channel,wait_time_sec,handle_time_sec,hold_time_sec,wrap_up_time_sec,total_time_sec,abandoned,resolved,first_call_resolution,csat_score,sentiment,outcome,call_cost_usd
CALL00043,2024-11-07 13:52:00,2024-11-07,13,Thursday,November,Agent_10,Product Information,Video Call,2,308,297,79,389,0,0,0,4.0,Positive,Escalated,5.65
CALL00044,2024-01-20 10:46:00,2024-01-20,10,Saturday,January,Agent_19,Technical Support,Chat,214,558,52,44,816,0,0,0,3.0,Positive,Unresolved,4.19
CALL00045,2024-08-11 09:37:00,2024-08-11,9,Sunday,August,Agent_03,Refund Request,Phone,174,199,37,48,421,0,1,1,2.0,Positive,Escalated,2.82
CALL00046,2024-02-10 11:26:00,2024-02-10,11,Saturday,February,Agent_16,Refund Request,Chat,138,414,69,48,600,0,0,0,5.0,Positive,Callback Scheduled,3.11
CALL00047,2024-09-09 18:50:00,2024-09-09,18,Monday,September,Agent_17,Upgrade Request,Chat,171,384,120,57,612,0,0,0,1.0,Neutral,Escalated,2.88
CALL00048,2024-10-15 16:17:00,2024-10-15,16,Tuesday,October,Agent_18,Product Information,Video Call,29,94,210,87,210,0,1,0,4.0,Negative,Callback Scheduled,1.72
CALL00049,2024-04-08 10:20:00,2024-04-08,10,Monday,April,Agent_13,Order Tracking,Phone,360,300,87,60,720,0,1,1,4.0,Neutral,Transferred,4.25
CALL00050,2024-01-01 18:12:00,2024-01-01,18,Monday,January,Agent_15,Technical Support,Phone,378,60,106,54,492,0,1,0,2.0,Positive,Escalated,0.85
CALL00051,2024-09-07 12:47:00,2024-09-07,12,Saturday,September,Agent_03,Order Tracking,Phone,98,371,98,84,553,0,1,1,5.0,Positive,Transferred,5.26
CALL00052,2024-11-01 14:29:00,2024-11-01,14,Friday,November,Agent_18,Product Information,Phone,17,343,35,94,454,0,1,1,4.0,Negative,Escalated,4.86
CALL00053,2024-03-21 18:03:00,2024-03-21,18,Thursday,March,Agent_01,Technical Support,Phone,332,315,25,50,697,1,0,0,,Negative,Abandoned,4.46
CALL00054,2024-02-12 11:50:00,2024-02-12,11,Monday,February,Agent_02,Product Information,Phone,110,88,71,89,287,0,0,0,5.0,Positive,Resolved,1.25
CALL00055,2024-10-07 17:02:00,2024-10-07,17,Monday,October,Agent_11,Technical Support,Phone,650,136,103,70,856,0,1,1,4.0,Negative,Escalated,1.93
CALL00056,2024-05-12 13:25:00,2024-05-12,13,Sunday,May,Agent_09,General Inquiry,Email,24,153,5,36,213,0,1,1,4.0,Positive,Transferred,0.76
CALL00057,2024-04-16 18:16:00,2024-04-16,18,Tuesday,April,Agent_05,Upgrade Request,Phone,295,211,14,71,577,0,1,1,4.0,Negative,Unresolved,2.99
CALL00058,2024-08-03 15:25:00,2024-08-03,15,Saturday,August,Agent_08,General Inquiry,Phone,52,369,43,66,487,0,1,1,4.0,Neutral,Escalated,5.23
CALL00059,2024-08-14 12:24:00,2024-08-14,12,Wednesday,August,Agent_04,Technical Support,Chat,36,442,5,64,542,0,1,1,4.0,Negative,Unresolved,3.31
CALL00060,2024-01-25 15:02:00,2024-01-25,15,Thursday,January,Agent_12,Cancellation Request,Chat,117,487,48,71,675,0,1,1,4.0,Neutral,Unresolved,3.65
CALL00061,2024-04-10 12:25:00,2024-04-10,12,Wednesday,April,Agent_02,Technical Support,Chat,50,60,162,59,169,0,0,0,3.0,Positive,Unresolved,0.45
CALL00062,2024-03-10 11:03:00,2024-03-10,11,Sunday,March,Agent_11,Technical Support,Email,16,395,0,62,473,0,1,1,5.0,Positive,Escalated,1.97
CALL00063,2024-03-02 18:14:00,2024-03-02,18,Saturday,March,Agent_07,Refund Request,Phone,116,248,206,69,433,0,1,1,5.0,Neutral,Escalated,3.51
CALL00064,2024-05-19 10:25:00,2024-05-19,10,Sunday,May,Agent_14,Account Management,Chat,16,391,23,60,467,0,1,1,4.0,Neutral,Unresolved,2.93
CALL00065,2024-09-17 09:43:00,2024-09-17,9,Tuesday,September,Agent_08,Technical Support,Phone,207,586,94,47,840,1,0,0,,Neutral,Abandoned,8.3
CALL00066,2024-03-09 17:43:00,2024-03-09,17,Saturday,March,Agent_18,Technical Support,Phone,486,380,76,56,922,1,0,0,,Positive,Abandoned,5.38
CALL00067,2024-12-14 10:40:00,2024-12-14,10,Saturday,December,Agent_18,Billing Inquiry,Chat,289,246,16,69,604,0,1,1,4.0,Positive,Escalated,1.84
CALL00068,2024-10-22 13:39:00,2024-10-22,13,Tuesday,October,Agent_06,Cancellation Request,Phone,111,426,41,43,580,0,1,0,4.0,Neutral,Unresolved,6.03
CALL00069,2024-11-04 17:50:00,2024-11-04,17,Monday,November,Agent_07,Cancellation Request,Phone,101,445,70,42,588,0,0,0,5.0,Positive,Escalated,6.3
CALL00070,2024-10-15 14:38:00,2024-10-15,14,Tuesday,October,Agent_13,Billing Inquiry,Phone,1092,399,90,80,1571,1,0,0,,Neutral,Abandoned,5.65
CALL00071,2024-07-14 14:09:00,2024-07-14,14,Sunday,July,Agent_09,General Inquiry,Phone,252,310,28,41,603,0,1,1,4.0,Neutral,Unresolved,4.39
CALL00072,2024-06-05 11:11:00,2024-06-05,11,Wednesday,June,Agent_18,General Inquiry,Chat,2,459,75,99,560,0,1,0,5.0,Positive,Escalated,3.44
CALL00073,2024-12-25 14:07:00,2024-12-25,14,Wednesday,December,Agent_10,Product Information,Phone,61,391,8,64,516,0,0,0,3.0,Positive,Transferred,5.54
CALL00074,2024-04-13 17:11:00,2024-04-13,17,Saturday,April,Agent_18,Billing Inquiry,Phone,451,444,28,73,968,1,0,0,,Negative,Abandoned,6.29
CALL00075,2024-02-20 15:39:00,2024-02-20,15,Tuesday,February,Agent_11,Billing Inquiry,Email,434,260,10,50,744,1,0,0,,Positive,Abandoned,1.3
CALL00076,2024-11-08 12:53:00,2024-11-08,12,Friday,November,Agent_19,General Inquiry,Phone,161,229,24,57,447,0,1,1,4.0,Negative,Transferred,3.24
CALL00077,2024-03-03 13:25:00,2024-03-03,13,Sunday,March,Agent_06,Billing Inquiry,Email,76,452,36,43,571,0,1,1,3.0,Negative,Resolved,2.26
CALL00078,2024-05-31 14:51:00,2024-05-31,14,Friday,May,Agent_06,Technical Support,Phone,443,429,60,23,895,1,0,0,,Negative,Abandoned,6.08
CALL00079,2024-02-18 11:19:00,2024-02-18,11,Sunday,February,Agent_03,Product Information,Phone,146,313,12,82,541,0,1,1,4.0,Neutral,Resolved,4.43
CALL00080,2024-07-29 12:29:00,2024-07-29,12,Monday,July,Agent_19,Product Information,Phone,6,608,4,37,651,0,1,1,4.0,Negative,Transferred,8.61
CALL00081,2024-04-22 12:37:00,2024-04-22,12,Monday,April,Agent_02,Upgrade Request,Chat,19,231,83,55,305,0,1,0,4.0,Positive,Unresolved,1.73
CALL00082,2024-03-27 19:31:00,2024-03-27,19,Wednesday,March,Agent_19,Upgrade Request,Chat,193,386,1,37,616,1,0,0,,Negative,Abandoned,2.9
CALL00083,2024-08-26 14:50:00,2024-08-26,14,Monday,August,Agent_11,Complaint,Chat,48,271,76,52,371,0,1,0,4.0,Positive,Callback Scheduled,2.03
CALL00084,2024-06-13 10:13:00,2024-06-13,10,Thursday,June,Agent_08,Complaint,Phone,407,339,32,34,780,0,1,1,3.0,Neutral,Escalated,4.8
CALL00085,2024-07-13 14:11:00,2024-07-13,14,Saturday,July,Agent_10,General Inquiry,Email,76,224,118,85,385,0,1,0,5.0,Neutral,Resolved,1.12
CALL00086,2024-03-21 17:55:00,2024-03-21,17,Thursday,March,Agent_01,General Inquiry,Video Call,114,292,43,33,439,0,1,1,4.0,Negative,Transferred,5.35
CALL00087,2024-07-19 10:42:00,2024-07-19,10,Friday,July,Agent_04,Technical Support,Phone,25,335,68,72,432,0,1,1,5.0,Negative,Escalated,4.75
CALL00088,2024-02-10 11:16:00,2024-02-10,11,Saturday,February,Agent_17,Complaint,Phone,123,232,9,66,421,0,1,1,5.0,Positive,Callback Scheduled,3.29
CALL00089,2024-04-07 14:56:00,2024-04-07,14,Sunday,April,Agent_03,Product Information,Phone,153,261,88,82,496,0,1,1,5.0,Neutral,Callback Scheduled,3.7
CALL00090,2024-07-11 10:35:00,2024-07-11,10,Thursday,July,Agent_06,General Inquiry,Chat,12,272,148,84,368,0,1,1,5.0,Negative,Callback Scheduled,2.04
CALL00091,2024-02-24 15:53:00,2024-02-24,15,Saturday,February,Agent_20,Refund Request,Phone,119,335,10,25,479,0,1,0,5.0,Positive,Transferred,4.75
CALL00092,2024-07-19 16:52:00,2024-07-19,16,Friday,July,Agent_10,Technical Support,Phone,77,498,54,45,620,0,1,1,2.0,Positive,Callback Scheduled,7.06
CALL00093,2024-04-17 15:29:00,2024-04-17,15,Wednesday,April,Agent_04,Technical Support,Phone,19,418,196,48,485,0,1,1,4.0,Negative,Transferred,5.92
CALL00094,2024-01-12 14:23:00,2024-01-12,14,Friday,January,Agent_05,Complaint,Chat,183,396,60,78,657,0,1,1,5.0,Neutral,Transferred,2.97
CALL00095,2024-12-30 15:31:00,2024-12-30,15,Monday,December,Agent_07,Order Tracking,Chat,466,332,148,34,832,1,0,0,,Positive,Abandoned,2.49
CALL00096,2024-04-26 15:50:00,2024-04-26,15,Friday,April,Agent_09,Refund Request,Video Call,637,295,118,73,1005,0,1,0,1.0,Neutral,Callback Scheduled,5.41
CALL00097,2024-06-07 12:43:00,2024-06-07,12,Friday,June,Agent_02,Technical Support,Phone,14,174,77,85,273,0,0,0,4.0,Negative,Unresolved,2.46
CALL00098,2024-01-04 16:24:00,2024-01-04,16,Thursday,January,Agent_09,Billing Inquiry,Chat,132,421,32,56,609,0,1,0,1.0,Positive,Callback Scheduled,3.16
CALL00099,2024-09-25 13:31:00,2024-09-25,13,Wednesday,September,Agent_05,Complaint,Video Call,13,611,19,46,670,0,1,1,4.0,Positive,Unresolved,11.2
CALL00100,2024-12-05 15:29:00,2024-12-05,15,Thursday,December,Agent_18,Cancellation Request,Phone,113,394,75,50,557,0,1,1,5.0,Negative,Resolved,5.58
CALL00101,2024-03-13 10:56:00,2024-03-13,10,Wednesday,March,Agent_04,Technical Support,Chat,44,280,126,43,367,0,1,1,4.0,Negative,Escalated,2.1
CALL00102,2024-06-01 16:03:00,2024-06-01,16,Saturday,June,Agent_18,Billing Inquiry,Phone,514,440,43,92,1046,1,0,0,,Neutral,Abandoned,6.23
CALL00103,2024-08-13 12:40:00,2024-08-13,12,Tuesday,August,Agent_19,Refund Request,Phone,272,240,208,56,568,0,1,0,3.0,Positive,Unresolved,3.4
CALL00104,2024-06-26 13:16:00,2024-06-26,13,Wednesday,June,Agent_05,Billing Inquiry,Phone,304,215,46,45,564,0,1,1,5.0,Neutral,Callback Scheduled,3.05
CALL00105,2024-11-18 11:28:00,2024-11-18,11,Monday,November,Agent_02,Order Tracking,Email,560,334,63,66,960,0,0,0,4.0,Positive,Escalated,1.67
CALL00106,2024-02-07 11:04:00,2024-02-07,11,Wednesday,February,Agent_04,Order Tracking,Phone,136,408,50,60,604,0,1,1,5.0,Negative,Unresolved,5.78
CALL00107,2024-10-15 17:18:00,2024-10-15,17,Tuesday,October,Agent_20,Account Management,Email,50,268,24,54,372,0,1,0,2.0,Positive,Escalated,1.34
CALL00108,2024-06-03 16:06:00,2024-06-03,16,Monday,June,Agent_06,Cancellation Request,Email,585,424,0,58,1067,0,1,0,1.0,Positive,Escalated,2.12
CALL00109,2024-09-14 17:28:00,2024-09-14,17,Saturday,September,Agent_11,Cancellation Request,Phone,38,270,49,48,356,0,0,0,4.0,Negative,Escalated,3.82
CALL00110,2024-12-09 16:47:00,2024-12-09,16,Monday,December,Agent_09,Account Management,Phone,257,364,25,60,681,0,1,1,5.0,Negative,Resolved,5.16
CALL00111,2024-12-17 16:03:00,2024-12-17,16,Tuesday,December,Agent_13,Billing Inquiry,Phone,221,315,25,45,581,0,0,0,5.0,Neutral,Escalated,4.46
CALL00112,2024-07-10 15:11:00,2024-07-10,15,Wednesday,July,Agent_07,General Inquiry,Chat,25,487,68,58,570,0,1,1,5.0,Neutral,Callback Scheduled,3.65
CALL00113,2024-04-08 13:38:00,2024-04-08,13,Monday,April,Agent_08,Product Information,Phone,314,400,88,50,764,1,0,0,,Positive,Abandoned,5.67
CALL00114,2024-01-27 17:43:00,2024-01-27,17,Saturday,January,Agent_07,Cancellation Request,Phone,236,78,23,48,362,0,1,1,5.0,Neutral,Callback Scheduled,1.1
CALL00115,2024-10-06 12:14:00,2024-10-06,12,Sunday,October,Agent_03,Complaint,Phone,141,249,5,50,440,0,0,0,4.0,Neutral,Transferred,3.53
CALL00116,2024-02-19 16:02:00,2024-02-19,16,Monday,February,Agent_13,Refund Request,Chat,62,280,0,33,375,0,1,1,3.0,Neutral,Resolved,2.1
CALL00117,2024-01-09 11:56:00,2024-01-09,11,Tuesday,January,Agent_04,Complaint,Phone,189,406,34,25,620,0,0,0,4.0,Positive,Transferred,5.75
CALL00118,2024-11-15 12:46:00,2024-11-15,12,Friday,November,Agent_09,Billing Inquiry,Chat,62,394,90,68,524,0,0,0,4.0,Positive,Transferred,2.96
CALL00119,2024-03-28 10:11:00,2024-03-28,10,Thursday,March,Agent_14,Order Tracking,Video Call,27,588,72,59,674,0,1,1,4.0,Negative,Callback Scheduled,10.78
CALL00120,2024-01-02 14:40:00,2024-01-02,14,Tuesday,January,Agent_14,Upgrade Request,Phone,6,278,8,45,329,0,1,1,5.0,Negative,Resolved,3.94
CALL00121,2024-04-15 11:48:00,2024-04-15,11,Monday,April,Agent_13,Upgrade Request,Video Call,23,325,57,77,425,0,1,1,5.0,Positive,Callback Scheduled,5.96
CALL00122,2024-11-23 15:19:00,2024-11-23,15,Saturday,November,Agent_02,Cancellation Request,Phone,303,458,36,63,824,0,1,1,2.0,Positive,Transferred,6.49
CALL00123,2024-01-12 11:12:00,2024-01-12,11,Friday,January,Agent_18,Product Information,Phone,172,257,81,19,448,0,1,1,1.0,Neutral,Unresolved,3.64
CALL00124,2024-10-26 14:17:00,2024-10-26,14,Saturday,October,Agent_03,Order Tracking,Chat,72,241,5,121,434,0,1,1,4.0,Negative,Callback Scheduled,1.81
CALL00125,2024-07-25 11:11:00,2024-07-25,11,Thursday,July,Agent_04,Complaint,Phone,582,435,59,54,1071,0,1,1,4.0,Negative,Callback Scheduled,6.16
CALL00126,2024-04-05 14:57:00,2024-04-05,14,Friday,April,Agent_14,Order Tracking,Chat,120,104,53,48,272,0,1,1,4.0,Neutral,Callback Scheduled,0.78
CALL00127,2024-02-09 17:32:00,2024-02-09,17,Friday,February,Agent_18,Account Management,Phone,226,338,40,54,618,1,0,0,,Positive,Abandoned,4.79
CALL00128,2024-11-11 12:13:00,2024-11-11,12,Monday,November,Agent_14,Cancellation Request,Phone,80,161,29,66,307,0,1,1,5.0,Negative,Escalated,2.28
CALL00129,2024-06-12 18:46:00,2024-06-12,18,Wednesday,June,Agent_20,Upgrade Request,Phone,387,69,35,46,502,0,0,0,4.0,Neutral,Unresolved,0.98
CALL00130,2024-09-20 14:00:00,2024-09-20,14,Friday,September,Agent_18,Billing Inquiry,Phone,80,468,26,27,575,0,1,0,5.0,Neutral,Callback Scheduled,6.63
CALL00131,2024-11-07 14:14:00,2024-11-07,14,Thursday,November,Agent_07,Cancellation Request,Phone,139,261,3,50,450,0,1,1,3.0,Negative,Transferred,3.7
CALL00132,2024-02-28 12:48:00,2024-02-28,12,Wednesday,February,Agent_11,General Inquiry,Phone,209,242,69,10,461,1,0,0,,Neutral,Abandoned,3.43
CALL00133,2024-08-04 14:56:00,2024-08-04,14,Sunday,August,Agent_15,Product Information,Phone,52,60,45,65,177,0,0,0,3.0,Negative,Unresolved,0.85
CALL00134,2024-11-03 15:41:00,2024-11-03,15,Sunday,November,Agent_06,Technical Support,Chat,31,371,10,43,445,0,1,0,3.0,Neutral,Transferred,2.78
CALL00135,2024-07-11 17:25:00,2024-07-11,17,Thursday,July,Agent_20,Order Tracking,Phone,3,380,119,49,432,0,1,1,5.0,Positive,Escalated,5.38
CALL00136,2024-10-15 14:30:00,2024-10-15,14,Tuesday,October,Agent_10,Product Information,Chat,90,207,64,65,362,0,1,1,5.0,Positive,Escalated,1.55
CALL00137,2024-06-17 19:12:00,2024-06-17,19,Monday,June,Agent_01,Billing Inquiry,Chat,150,367,31,67,584,0,1,1,5.0,Positive,Unresolved,2.75
CALL00138,2024-03-22 17:22:00,2024-03-22,17,Friday,March,Agent_20,Technical Support,Phone,306,314,0,39,659,0,1,1,5.0,Neutral,Unresolved,4.45
CALL00139,2024-11-11 14:32:00,2024-11-11,14,Monday,November,Agent_19,Product Information,Phone,84,497,57,80,661,0,1,1,5.0,Negative,Unresolved,7.04
CALL00140,2024-10-30 17:27:00,2024-10-30,17,Wednesday,October,Agent_16,Cancellation Request,Phone,75,133,52,27,235,0,1,1,5.0,Positive,Escalated,1.88
CALL00141,2024-11-21 16:43:00,2024-11-21,16,Thursday,November,Agent_01,Technical Support,Video Call,3,391,16,65,459,0,1,1,5.0,Neutral,Escalated,7.17
CALL00142,2024-10-01 10:03:00,2024-10-01,10,Tuesday,October,Agent_06,Refund Request,Phone,60,416,46,47,523,0,1,1,5.0,Neutral,Resolved,5.89
CALL00143,2024-03-17 13:24:00,2024-03-17,13,Sunday,March,Agent_18,Product Information,Phone,23,339,12,67,429,0,1,0,3.0,Positive,Unresolved,4.8
CALL00144,2024-02-05 13:53:00,2024-02-05,13,Monday,February,Agent_05,General Inquiry,Email,143,315,181,51,509,0,1,0,5.0,Negative,Transferred,1.57
CALL00145,2024-01-26 11:09:00,2024-01-26,11,Friday,January,Agent_18,Upgrade Request,Phone,80,321,48,65,466,0,1,1,5.0,Neutral,Unresolved,4.55
CALL00146,2024-04-09 13:09:00,2024-04-09,13,Tuesday,April,Agent_20,Refund Request,Email,261,270,9,37,568,1,0,0,,Neutral,Abandoned,1.35
CALL00147,2024-04-17 17:54:00,2024-04-17,17,Wednesday,April,Agent_18,General Inquiry,Phone,35,172,13,45,252,0,1,1,4.0,Positive,Unresolved,2.44
CALL00148,2024-09-10 10:34:00,2024-09-10,10,Tuesday,September,Agent_15,Complaint,Phone,202,75,77,20,297,1,0,0,,Positive,Abandoned,1.06
CALL00149,2024-10-06 10:18:00,2024-10-06,10,Sunday,October,Agent_09,Refund Request,Chat,74,320,18,65,459,0,1,1,4.0,Neutral,Escalated,2.4
CALL00150,2024-12-18 11:40:00,2024-12-18,11,Wednesday,December,Agent_09,General Inquiry,Chat,105,359,4,79,543,0,1,1,4.0,Positive,Callback Scheduled,2.69
CALL00151,2024-03-07 14:57:00,2024-03-07,14,Thursday,March,Agent_08,Complaint,Phone,199,500,37,68,767,1,0,0,,Neutral,Abandoned,7.08
CALL00152,2024-10-26 10:04:00,2024-10-26,10,Saturday,October,Agent_11,Refund Request,Phone,210,320,6,31,561,0,1,1,5.0,Positive,Escalated,4.53
CALL00153,2024-01-03 18:44:00,2024-01-03,18,Wednesday,January,Agent_05,Product Information,Phone,658,209,66,75,942,1,0,0,,Neutral,Abandoned,2.96
CALL00154,2024-08-18 17:52:00,2024-08-18,17,Sunday,August,Agent_05,Product Information,Email,274,171,26,42,487,1,0,0,,Positive,Abandoned,0.85
CALL00155,2024-09-05 14:10:00,2024-09-05,14,Thursday,September,Agent_14,Cancellation Request,Email,59,353,51,49,461,0,1,1,4.0,Neutral,Transferred,1.77
CALL00156,2024-02-18 10:17:00,2024-02-18,10,Sunday,February,Agent_15,Cancellation Request,Chat,201,512,9,65,778,1,0,0,,Positive,Abandoned,3.84
CALL00157,2024-01-14 10:20:00,2024-01-14,10,Sunday,January,Agent_07,Cancellation Request,Phone,30,385,51,62,477,0,1,1,4.0,Neutral,Transferred,5.45
CALL00158,2024-11-16 14:53:00,2024-11-16,14,Saturday,November,Agent_01,Upgrade Request,Email,68,204,39,67,339,0,1,1,2.0,Neutral,Unresolved,1.02
CALL00159,2024-01-12 18:31:00,2024-01-12,18,Friday,January,Agent_01,Order Tracking,Phone,496,255,114,72,823,1,0,0,,Neutral,Abandoned,3.61
CALL00160,2024-02-12 14:59:00,2024-02-12,14,Monday,February,Agent_13,Cancellation Request,Phone,87,140,14,65,292,0,1,0,4.0,Negative,Transferred,1.98
